m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
5650,150,4.773707675666222,0.89,9.023578974680714,0.28,0.28
5700,150,4.803768729038881,0.89,8.9801930144171,0.28,0.28
5750,150,4.83379640866299,0.9,8.937232931975785,0.27,0.27
5800,150,4.865621907537384,0.9,8.894663091397618,0.26,0.26
5850,150,4.895469165663143,0.9,8.852419040662815,0.25,0.25
5900,150,4.924189913962041,0.91,8.810576397548108,0.25,0.25
5950,150,4.954241896343064,0.91,8.769132658232913,0.24,0.24
6000,150,4.984272200952123,0.92,8.728086800361641,0.23,0.23
6050,150,5.014282504242609,0.92,8.687485637383089,0.23,0.23
6100,150,5.0442741702202625,0.92,8.64723677738496,0.22,0.22
6150,150,5.074255315146855,0.93,8.60744917825962,0.21,0.21
6200,150,5.104230848603334,0.93,8.568098994987201,0.21,0.21
6250,150,5.134202969059421,0.94,8.529206459051856,0.2,0.2
6300,150,5.164174340427747,0.94,8.490648370454261,0.19,0.19
6350,150,5.194148367424269,0.94,8.452536508744462,0.19,0.19
6400,150,5.224130653563519,0.95,8.414813256712787,0.18,0.18
6450,150,5.254132781307326,0.95,8.377552251304378,0.18,0.18
6500,150,5.284181615454865,0.95,8.340683340606724,0.17,0.17
6550,150,5.314359105042935,0.96,8.304308508942707,0.17,0.17
6600,150,5.34509101215976,0.96,8.268347606862227,0.16,0.16
6650,150,5.374153754990699,0.97,8.232823524301072,0.15,0.15
6700,150,5.401446269222809,0.97,8.197686203683869,0.15,0.15
6750,150,5.432198459850275,0.97,8.162979998130394,0.14,0.14
6800,150,5.462328394401725,0.98,8.128633072276218,0.14,0.14
6850,150,5.490830615463223,0.98,8.094706927136233,0.13,0.13
6900,150,5.5222038541503125,0.98,8.061091942121767,0.13,0.13
6950,150,5.552064887188899,0.99,8.027844164662797,0.12,0.12
7000,150,5.581503605377014,0.99,7.994905337971765,0.12,0.12
7050,150,5.61118563304089,0.99,7.962286778068061,0.12,0.12
7100,150,5.64074720828638,1.0,7.929919948814573,0.11,0.11
7150,150,5.670124535661704,1.0,7.897860711584637,0.11,0.11
7200,150,5.699141268820975,1.0,7.866034161303542,0.1,0.1
7250,150,5.730786053156678,1.01,7.834493856160899,0.1,0.1
7300,150,5.760534177818065,1.01,7.80325134966927,0.1,0.1
7350,150,5.790277866140983,1.01,7.772267550414061,0.09,0.09
7400,150,5.820017737826329,1.01,7.741607441567903,0.09,0.09
7450,150,5.849754480446685,1.02,7.711159923752465,0.08,0.08
7500,150,5.879488663760977,1.02,7.681000031029355,0.08,0.08
7550,150,5.909220834877128,1.02,7.651093861602708,0.08,0.08
7600,150,5.9389516118827155,1.03,7.6214248863392475,0.07,0.07
7650,150,5.96868149761762,1.03,7.592043127619899,0.07,0.07
7700,150,5.998410935468857,1.03,7.562909456217667,0.07,0.07
7750,150,6.028140462129408,1.03,7.534029956250709,0.07,0.07
7800,150,6.057870360299673,1.04,7.505422868761453,0.06,0.06
7850,150,6.087601197008027,1.04,7.477038917151935,0.06,0.06
7900,150,6.117770350977503,1.04,7.448954839718787,0.06,0.06
7950,150,6.138267452410792,1.04,7.421092621204723,0.06,0.06
8000,150,6.176745972233664,1.05,7.393473086673538,0.05,0.05
8050,150,6.206989116134147,1.05,7.366120402222596,0.05,0.05
8100,150,6.236632206925862,1.05,7.339004751575812,0.05,0.05
8150,150,6.266275797387418,1.05,7.312126681067328,0.05,0.05
8200,150,6.2957516511715825,1.05,7.285548411356056,0.04,0.04
8250,150,6.325507936121458,1.06,7.259175258651753,0.04,0.04
8300,150,6.355259640327974,1.06,7.2330465361777145,0.04,0.04
8350,150,6.3850441696711036,1.06,7.207170283107652,0.04,0.04
8400,150,6.414801916633352,1.06,7.181493695362448,0.04,0.04
8450,150,6.444533824177373,1.06,7.156023711516446,0.04,0.04
8500,150,6.474298927036217,1.06,7.130820700010676,0.03,0.03
8550,150,6.504068463018858,1.07,7.105823921903272,0.03,0.03
8600,150,6.533842625681059,1.07,7.081015101841457,0.03,0.03
8650,150,6.563621617754239,1.07,7.056465155586727,0.03,0.03
8700,150,6.593405853969065,1.07,7.032084858484866,0.03,0.03
8750,150,6.62319552487295,1.07,7.007878719180958,0.03,0.03
8800,150,6.641757355498006,1.07,6.983886575444066,0.03,0.03
8850,150,6.6827924128343525,1.07,6.9600772879789865,0.02,0.02
8900,150,6.71260026975342,1.08,6.936411254335277,0.02,0.02
8950,150,6.742414718542047,1.08,6.91294621888794,0.02,0.02
9000,150,6.7722361104334174,1.08,6.889687559655346,0.02,0.02
9050,150,6.802064608024498,1.08,6.866559380985297,0.02,0.02
9100,150,6.831900560829917,1.08,6.843652387303049,0.02,0.02
9150,150,6.861744146023925,1.08,6.820931173431314,0.02,0.02
9200,150,6.891595757109761,1.08,6.798375208791984,0.02,0.02
9250,150,6.921455445219963,1.08,6.776016895275413,0.02,0.02
9300,150,6.951323408153865,1.08,6.753835202624441,0.01,0.01
9350,150,6.981200034056018,1.08,6.731801380668032,0.01,0.01
9400,150,7.011085377410242,1.08,6.7098643556455055,0.01,0.01
9450,150,7.040979696177038,1.09,6.688097370069197,0.01,0.01
9500,150,7.070883193086321,1.09,6.6664938768224085,0.01,0.01
9550,150,7.100795846600727,1.09,6.645004064437285,0.01,0.01
9600,150,7.130718099759815,1.09,6.623651175982765,0.01,0.01
9650,150,7.160650000602784,1.09,6.602447682781613,0.01,0.01
9700,150,7.190591738892141,1.09,6.581388372375337,0.01,0.01
9750,150,7.2205434800425055,1.09,6.560440028631461,0.01,0.01
9800,150,7.250505355567437,1.09,6.539575399991417,0.01,0.01
9850,150,7.280477640790864,1.09,6.518866815122993,0.01,0.01
9900,150,7.310460380297251,1.09,6.498321781245702,0.0,0.0
9950,150,7.34045380832081,1.09,6.477900967438042,0.0,0.0
10000,150,7.370458224202642,1.09,6.457596430881872,0.0,0.0
200,200,0.41,0.26,2.2682743032397688,9.883956148274432,9.911602604022852
250,200,0.5,0.29,2.6310728236767194,9.02784401900707,9.034442407537593
300,200,0.59,0.31,2.9807713956750987,8.234148449571155,8.234148492567448
350,200,0.67,0.33,3.321629705004186,7.525374902486255,7.525374861331611
400,200,0.76,0.35,3.6564060390427398,6.902564103012219,6.902564058847515
450,200,0.85,0.37,3.9871289249530055,6.3586949716586885,6.358694932320295
500,200,0.93,0.38,4.315333996038235,5.881527564023441,5.88152749434418
550,200,1.02,0.4,4.642284743774362,5.464038237490528,5.464038287228513
600,200,1.11,0.41,4.9691298994003406,5.09712002492898,5.097120048102487
650,200,1.2,0.43,5.296666336101511,4.771486650097706,4.771486650097645
